job_id,submit_time,runtime_min,norm_cpu_seconds,cores_used
226801708,2026-03-01 10:33:43,16.007,18471.024,1
226803490,2026-03-01 10:48:23,1.511,1358.852,1
226801947,2026-03-01 10:35:29,13.339,21728.84,1
226803613,2026-03-01 10:49:23,1.021,1888.092,1
226801724,2026-03-01 10:33:51,14.338,20176.212,1
226802087,2026-03-01 10:36:32,12.513,18778.795,1
226803646,2026-03-01 10:49:39,1.178,1600.012,1
226802040,2026-03-01 10:36:11,12.853,20198.892,1
226803155,2026-03-01 10:45:54,4.688,9632.925,1
226801959,2026-03-01 10:35:34,13.175,21025.128,1
226803061,2026-03-01 10:45:10,4.842,7456.294,1
226803557,2026-03-01 10:48:56,1.01,1408.102,1
226803637,2026-03-01 10:49:34,1.173,1374.5,1
226801688,2026-03-01 10:33:33,15.339,18010.926,1
226801915,2026-03-01 10:35:15,13.675,18638.136,1
226803340,2026-03-01 10:47:12,3.015,4388.762,1
226802464,2026-03-01 10:39:09,9.345,15051.384,1
226801924,2026-03-01 10:35:18,13.009,20253.817,1
226803377,2026-03-01 10:47:30,2.839,3815.676,1
226803617,2026-03-01 10:49:25,1.354,2367.581,1
226801809,2026-03-01 10:34:29,14.839,20254.338,1
226801328,2026-03-01 10:30:53,20.508,19792.512,1
226801992,2026-03-01 10:35:49,13.006,20172.36,1
226801889,2026-03-01 10:35:04,13.512,19744.768,1
226803446,2026-03-01 10:48:02,2.52,5107.752,1
226801713,2026-03-01 10:33:46,16.023,18848.144,1
226803625,2026-03-01 10:49:30,1.015,1784.556,1
226803589,2026-03-01 10:49:12,1.173,1440.26,1
226803038,2026-03-01 10:44:57,6.175,8381.243,1
226801179,2026-03-01 10:29:48,20.006,19346.636,1
226801314,2026-03-01 10:30:48,20.006,18644.48,1
226801730,2026-03-01 10:33:53,16.007,18751.692,1
226803612,2026-03-01 10:49:22,1.179,1488.512,1
226802042,2026-03-01 10:36:12,12.02,18976.706,1
226801761,2026-03-01 10:34:07,15.846,21746.22,1
226801946,2026-03-01 10:35:28,13.182,21130.412,1
226803548,2026-03-01 10:48:51,1.172,1670.286,1
226801836,2026-03-01 10:34:39,13.509,22913.952,1
226801758,2026-03-01 10:34:06,15.678,16713.64,1
